Years,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"        Installation, Maintenance, and Repair (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5323070,5215970,5226080,5215390,5305260,5352420,5390090,5374850,5114150,4928960,4988980,5069590,5138130,5244670,5374150,5456640,5528390,5628880
        Protective Service (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2957990,2993490,2999630,3006100,3056660,3024840,3087650,3128960,3172420,3187810,3202500,3207790,3257690,3297180,3351620,3386360,3408680,3437410
        Sales and Related (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13418240,13339570,13534180,13507840,13930320,14114860,14332020,14336430,13715050,13437980,13646450,13835090,14068190,14248470,14462120,14536530,14522580,14542290
            By selected type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Cashiers (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387580,3375510,3462010,3438070,3481420,3479390,3545330,3545610,3439380,3354170,3314870,3314010,3343470,3398330,3478420,3541010,3564920,3657570
            Retail Salespersons (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3917190,3894760,3992930,4130470,4344770,4374230,4429060,4426280,4209500,4155190,4270550,4340000,4485180,4562160,4612510,4528550,4442090,4448120
        Office and Administrative Support (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22798590,22754570,22678010,22649080,22784330,23077190,23270810,23231750,22336450,21503800,21384330,21355350,21442800,21638470,21846420,22026080,21965480,21828990
        Production (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11270210,10726670,10488450,10128200,10249220,10268510,10146560,9919120,8927130,8236340,8365980,8594170,8765180,8934050,9073290,9105650,9024560,9115530
        Transportation and Material Moving (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9410660,9395000,9414920,,9594920,9647730,9629030,9508750,8844700,8547980,8635940,8771690,9005120,9249310,9536610,9731790,9978390,10244260
        Healthcare Support (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3122870,3173400,3208770,3271350,3363800,3483270,3625240,3779280,3886690,3962930,3954070,3915460,3924390,3940500,3989910,4043480,4113410,4117450
        Building and Grounds Cleaning and Maintenance (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275340,4262880,4260380,4300440,4342550,4396250,4403900,4429870,4269480,4175550,4191750,4246260,4291410,4371450,4407050,4426090,4424440,4421980
"        Farming, Fishing, and Forestry (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453050,451140,461630,458850,443070,450040,448000,438490,419200,408040,409590,427670,435250,447130,454230,463640,470920,480130
        Personal Care and Service (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802050,2919280,2988590,3099550,3188850,3249760,3339510,3437520,3461910,3425220,3619250,3810750,3986740,4154360,4307500,4514960,5159100,5451330
        Food Preparation and Serving Related (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9917660,10067080,10216620,10507390,10797700,11029280,11273850,11438550,11218260,11027340,11218710,11546880,11914590,12277720,12577080,12981720,13193090,13374620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agency,Source,Table,Url,Direct Link,Updated,Update Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bureau of Labor Statistics,"Occupational Employment Statistics, National Tables?1997 - Present",,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/oes/special.requests/oesm15nat.zip,5/1/2018,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bureau of Labor Statistics,Current Population Survey - Labor Force Statistics,Employment Situation - A Tables,https://www.bls.gov/cps/cpsatabs.htm,,2/18/2019,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported on: 10/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
