year,period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,states,st
1978.0,Sep,66.7,63.1,241362.0,228274.0,13088.0,5.4,Vermont,vt
1979.0,Sep,66.3,62.9,245285.0,232784.0,12501.0,5.1,Vermont,vt
1980.0,Sep,66.6,62.2,251765.0,234941.0,16824.0,6.7,Vermont,vt
1981.0,Sep,67.7,63.7,259173.0,243993.0,15180.0,5.9,Vermont,vt
1982.0,Sep,68.1,63.3,264212.0,245423.0,18789.0,7.1,Vermont,vt
1983.0,Sep,67.3,63.3,264525.0,248842.0,15683.0,5.9,Vermont,vt
1984.0,Sep,67.9,64.7,269489.0,256696.0,12793.0,4.7,Vermont,vt
1985.0,Sep,69.9,66.6,281651.0,268245.0,13406.0,4.8,Vermont,vt
1986.0,Sep,71.3,68.3,290930.0,278673.0,12257.0,4.2,Vermont,vt
1987.0,Sep,71.7,69.2,297751.0,287275.0,10476.0,3.5,Vermont,vt
1988.0,Sep,71.3,69.1,302428.0,292985.0,9443.0,3.1,Vermont,vt
1989.0,Sep,71.0,68.2,305906.0,294029.0,11877.0,3.9,Vermont,vt
1990.0,Sep,70.3,66.6,303286.0,287269.0,16017.0,5.3,Vermont,vt
1991.0,Sep,70.2,65.8,303466.0,284491.0,18975.0,6.3,Vermont,vt
1992.0,Sep,71.0,66.8,309333.0,291077.0,18256.0,5.9,Vermont,vt
1993.0,Sep,71.5,67.9,313923.0,298001.0,15922.0,5.1,Vermont,vt
1994.0,Sep,71.1,67.9,315978.0,301892.0,14086.0,4.5,Vermont,vt
1995.0,Sep,71.4,68.3,320866.0,306917.0,13949.0,4.3,Vermont,vt
1996.0,Sep,71.3,68.2,324234.0,310437.0,13797.0,4.3,Vermont,vt
1997.0,Sep,71.6,68.9,329744.0,317345.0,12399.0,3.8,Vermont,vt
1998.0,Sep,72.1,69.7,334929.0,323840.0,11089.0,3.3,Vermont,vt
1999.0,Sep,72.5,70.4,340844.0,330979.0,9865.0,2.9,Vermont,vt
2000.0,Sep,70.0,67.9,332411.0,322671.0,9740.0,2.9,Vermont,vt
2001.0,Sep,70.5,68.1,338225.0,326587.0,11638.0,3.4,Vermont,vt
2002.0,Sep,71.0,68.1,344085.0,329990.0,14095.0,4.1,Vermont,vt
2003.0,Sep,70.9,67.9,346659.0,331960.0,14699.0,4.2,Vermont,vt
2004.0,Sep,70.6,68.1,347866.0,335561.0,12305.0,3.5,Vermont,vt
2005.0,Sep,71.1,68.5,352577.0,340077.0,12500.0,3.5,Vermont,vt
2006.0,Sep,71.5,68.8,357724.0,343996.0,13728.0,3.8,Vermont,vt
2007.0,Sep,70.1,67.2,352667.0,338119.0,14548.0,4.1,Vermont,vt
2008.0,Sep,70.5,67.1,356283.0,339054.0,17229.0,4.8,Vermont,vt
2009.0,Sep,70.7,66.1,358984.0,335688.0,23296.0,6.5,Vermont,vt
2010.0,Sep,70.8,66.5,359252.0,337779.0,21473.0,6.0,Vermont,vt
2011.0,Sep,70.0,66.2,357501.0,338220.0,19281.0,5.4,Vermont,vt
2012.0,Sep,69.4,65.9,354731.0,337260.0,17471.0,4.9,Vermont,vt
2013.0,Sep,68.2,65.3,349922.0,334732.0,15190.0,4.3,Vermont,vt
2014.0,Sep,67.5,64.8,346335.0,332962.0,13373.0,3.9,Vermont,vt
2015.0,Sep,66.8,64.5,343654.0,331684.0,11970.0,3.5,Vermont,vt
2016.0,Sep,67.0,64.9,345211.0,334287.0,10924.0,3.2,Vermont,vt
2017.0,Sep,67.0,65.1,346211.0,336340.0,9871.0,2.9,Vermont,vt
2018.0,Sep,66.6,65.0,344789.0,336276.0,8513.0,2.5,Vermont,vt
2019.0,Sep,65.8,64.2,340947.0,332709.0,8238.0,2.4,Vermont,vt
2020.0,Sep,62.0,59.4,321693.0,308140.0,13553.0,4.2,Vermont,vt
1976.0,Sep,65.3,61.5,2348914.0,2211644.0,137270.0,5.8,Virginia,va
1977.0,Sep,65.7,62.2,2421483.0,2293372.0,128111.0,5.3,Virginia,va
1978.0,Sep,66.5,63.0,2508691.0,2376816.0,131875.0,5.3,Virginia,va
1979.0,Sep,66.4,63.3,2546941.0,2428755.0,118186.0,4.6,Virginia,va
1980.0,Sep,65.7,62.2,2566104.0,2426603.0,139501.0,5.4,Virginia,va
1981.0,Sep,65.6,61.6,2607510.0,2446256.0,161254.0,6.2,Virginia,va
1982.0,Sep,66.1,61.0,2663275.0,2460428.0,202847.0,7.6,Virginia,va
1983.0,Sep,67.0,63.0,2742486.0,2581689.0,160797.0,5.9,Virginia,va
1984.0,Sep,68.1,64.6,2835695.0,2690655.0,145040.0,5.1,Virginia,va
1985.0,Sep,67.7,63.9,2862077.0,2703772.0,158305.0,5.5,Virginia,va
1986.0,Sep,68.1,64.6,2939004.0,2791427.0,147577.0,5.0,Virginia,va
1987.0,Sep,68.4,65.7,3019812.0,2900552.0,119260.0,3.9,Virginia,va
1988.0,Sep,68.8,66.0,3094761.0,2969314.0,125447.0,4.1,Virginia,va
1989.0,Sep,69.6,66.8,3172338.0,3045582.0,126756.0,4.0,Virginia,va
1990.0,Sep,70.2,66.7,3275232.0,3115611.0,159621.0,4.9,Virginia,va
1991.0,Sep,71.0,66.9,3357796.0,3160829.0,196967.0,5.9,Virginia,va
1992.0,Sep,70.9,66.6,3399102.0,3191774.0,207328.0,6.1,Virginia,va
1993.0,Sep,69.4,65.8,3377428.0,3204987.0,172441.0,5.1,Virginia,va
1994.0,Sep,69.9,66.6,3445238.0,3283243.0,161995.0,4.7,Virginia,va
1995.0,Sep,68.8,65.6,3439224.0,3279997.0,159227.0,4.6,Virginia,va
1996.0,Sep,67.8,64.8,3435785.0,3284873.0,150912.0,4.4,Virginia,va
1997.0,Sep,67.3,65.0,3450558.0,3332788.0,117770.0,3.4,Virginia,va
1998.0,Sep,67.6,65.7,3505791.0,3403714.0,102077.0,2.9,Virginia,va
1999.0,Sep,67.6,65.7,3552136.0,3452506.0,99630.0,2.8,Virginia,va
2000.0,Sep,67.8,66.4,3606796.0,3528934.0,77862.0,2.2,Virginia,va
2001.0,Sep,68.1,65.5,3672084.0,3535982.0,136102.0,3.7,Virginia,va
2002.0,Sep,68.5,65.6,3745885.0,3590376.0,155509.0,4.2,Virginia,va
2003.0,Sep,67.8,65.0,3751599.0,3599230.0,152369.0,4.1,Virginia,va
2004.0,Sep,67.5,65.0,3804876.0,3664166.0,140710.0,3.7,Virginia,va
